code,time_zone_id,name,city_code,country_id,location,elevation,url,icao,city,county,state,status
ABJ,Africa/Abidjan,Felix Houphouet Boigny Airport,ABJ,CI,POINT (-3.925957338659794 5.264928299999999),42,,DIAP,Abidjan,,Lagunes,
MJC,Africa/Abidjan,Man,MJC,CI,POINT (-7.528333 7.381667),1082,,DIMN,Man,,Dix-Huit Montagnes,
BRZ,Africa/Abidjan,Borotou,BRZ,CI,POINT (-7.5 8.766667),1368,,,,,,
BXI,Africa/Abidjan,Boundiali,BXI,CI,POINT (-6.5 8.75),1148,,DIBI,Mankono,,Worodougou,
BBV,Africa/Abidjan,Hkg,BBV,CI,POINT (-6.95 4.666667),22,,DIGN,,,,
OFI,Africa/Abidjan,Ouango Fitini,OFI,CI,POINT (-4.033333 9.6),1003,,DIOF,,,,
OGO,Africa/Abidjan,Abengourou,OGO,CI,POINT (-3.4705374 6.7181611),675,,DIAU,Abengourou,,Moyen-Comoe,
ABO,Africa/Abidjan,Aboisso,ABO,CI,POINT (-3.216667 5.433333),95,,DIAO,Aboisso,,Sud-Comoe,
ASK,Africa/Abidjan,Yamoussoukro,ASK,CI,POINT (-5.283333 6.816667),656,,DIYO,Yamoussoukro,,Lacs,
DIM,Africa/Abidjan,Dimbokro,DIM,CI,POINT (-4.766667 6.75),282,,DIDK,Dimbokro,,Lacs,
DIV,Africa/Abidjan,Divo,DIV,CI,POINT (-5.25 5.8),311,,,Divo,,Sud-Bandama,
DJO,Africa/Abidjan,Daloa,DJO,CI,POINT (-6.466667 6.866944),790,,DIDL,Daloa,,Haut-Sassandra,
BQO,Africa/Abidjan,Bouna,BQO,CI,POINT (-3.033317862466327 9.2548838),990,,DIBN,Bouna,,Zanzan,
SEO,Africa/Abidjan,Seguela,SEO,CI,POINT (-6.643595778852452 7.963739500000001),1040,,DISG,Seguela,,Worodougou,
SPY,Africa/Abidjan,San Pedro,SPY,CI,POINT (-6.626944 4.730278),13,,DISP,San-Pedro,,Bas-Sassandra,
FEK,Africa/Abidjan,Ferkessedougou,FEK,CI,POINT (-5.1999998 9.6000004),1020,,DIFK,Ferkessedougou,,Savanes,
GGN,Africa/Abidjan,Gagnoa,GGN,CI,POINT (-5.933333 6.133333),554,,DIGA,Gagnoa,,Fromager,
GGO,Africa/Abidjan,Guiglo,GGO,CI,POINT (-7.75 6.333333),711,,DIGL,Guiglo,,Dix-Huit Montagnes,
BYK,Africa/Abidjan,Bouake,BYK,CI,POINT (-5.068606828539775 7.7404244),1220,,DIBK,Bouake,,Vallee du Bandama,
BDK,Africa/Abidjan,Bondoukou,BDK,CI,POINT (-2.763268015586016 8.0151654),1227,,DIBU,Bondoukou,,Zanzan,
HGO,Africa/Abidjan,Korhogo Airport,HGO,CI,POINT (-5.616667 9.413889),1236,,DIKO,Korhogo,,Savanes,
KEO,Africa/Abidjan,Odienne,KEO,CI,POINT (-7.570833 9.49),1365,,DIOD,Odienne,,Denguele,
KTC,Africa/Abidjan,Katiola,KTC,CI,POINT (-5.166667 8.166667),1026,,,Katiola,,Vallee du Bandama,
TOZ,Africa/Abidjan,Touba,TOZ,CI,POINT (-7.6730977 8.2968),1583,,DITM,Touba,,Bafing,
TXU,Africa/Abidjan,Tabou,TXU,CI,POINT (-7.3627281 4.4378095),39,,DITB,Tabou,,Bas-Sassandra,
ZSS,Africa/Abidjan,Sassandra,ZSS,CI,POINT (-6.1304294 4.9303139),203,,DISS,Sassandra,,Bas-Sassandra,
NYI,Africa/Accra,Sunyani,NYI,GH,POINT (-2.3282951059579275 7.36107895),1026,,DGSN,Sunyani,,Brong-Ahafo,
TKD,Africa/Accra,Takoradi Airport,TKD,GH,POINT (-1.7740750697405612 4.8966362),21,,DGTK,,,,
ACC,Africa/Accra,Kotoka International Airport,ACC,GH,POINT (-0.167967625794569 5.60428935),196,,DGAA,Accra,,Greater Accra,
KMS,Africa/Accra,Kumasi Airport,KMS,GH,POINT (-1.5903265519696532 6.7150762),942,,DGSI,Tafo,,Ashanti,
TML,Africa/Accra,Tamale Airport,TML,GH,POINT (-0.879167 9.406944),553,,DGLE,Tamale,,Northern,
WZA,Africa/Accra,Wa Airport,WZA,GH,POINT (-2.5078313317209595 10.08289355),1003,,,Wa,,Upper West,
